time,acc_x,acc_y,acc_z
18:32:17.683,-0.05835,0.11646,-0.98462;
18:32:17.693,-0.06445,0.12622,-0.98633;
18:32:17.703,-0.07837,0.13770,-0.99438;
18:32:17.713,-0.09131,0.13232,-0.99756;
18:32:17.723,-0.09619,0.11206,-0.99487;
18:32:17.733,-0.10083,0.10254,-0.99390;
18:32:17.743,-0.10742,0.11133,-0.99390;
18:32:17.753,-0.11572,0.12988,-1.00293;
18:32:17.763,-0.12402,0.14038,-1.00757;
18:32:17.773,-0.12671,0.13599,-1.00366;
18:32:17.783,-0.11768,0.13062,-0.98853;
18:32:17.793,-0.11353,0.13428,-0.99072;
18:32:17.803,-0.10498,0.13818,-0.99438;
18:32:17.813,-0.09741,0.14111,-0.99609;
18:32:17.823,-0.08936,0.13892,-0.99561;
18:32:17.833,-0.05908,0.12671,-0.99268;
18:32:17.843,-0.05249,0.11646,-0.99463;
18:32:17.853,-0.05786,0.12183,-0.99438;
18:32:17.863,-0.07568,0.14380,-0.98901;
18:32:17.873,-0.09473,0.15503,-0.98779;
18:32:17.883,-0.10547,0.14624,-0.99463;
18:32:17.893,-0.10864,0.13062,-0.99512;
18:32:17.903,-0.11328,0.13208,-0.99951;
18:32:17.913,-0.11548,0.13818,-1.00171;
18:32:17.923,-0.11816,0.12354,-0.99731;
18:32:17.933,-0.11499,0.08838,-0.99512;
18:32:17.943,-0.10693,0.08130,-0.99072;
18:32:17.953,-0.10376,0.11499,-0.99219;
18:32:17.963,-0.10522,0.14648,-0.99609;
18:32:17.973,-0.10449,0.15527,-0.98584;
18:32:17.983,-0.09717,0.15210,-0.98047;
18:32:17.993,-0.09521,0.14893,-0.97900;
18:32:18.003,-0.09424,0.14331,-0.98291;
18:32:18.013,-0.09375,0.13452,-0.98438;
18:32:18.023,-0.09106,0.12842,-0.98584;
18:32:18.033,-0.08984,0.12915,-0.98950;
18:32:18.043,-0.09302,0.12573,-0.98364;
18:32:18.053,-0.09302,0.12354,-0.97900;
18:32:18.063,-0.09375,0.12354,-0.97632;
18:32:18.073,-0.08716,0.13135,-0.98340;
18:32:18.083,-0.08716,0.14087,-1.00049;
18:32:18.093,-0.09692,0.14209,-1.01025;
18:32:18.103,-0.10254,0.14526,-1.00269;
18:32:18.113,-0.06104,0.05200,-0.94141;
18:32:18.123,-0.04663,0.09351,-1.00171;
18:32:18.133,-0.07227,0.17163,-1.07202;
18:32:18.143,-0.10498,0.13843,-1.08716;
18:32:18.153,-0.10303,0.10571,-1.08618;
18:32:18.163,-0.10449,0.13574,-1.07959;
18:32:18.173,-0.10913,0.15308,-1.07080;
18:32:18.183,-0.11768,0.13940,-1.05566;
18:32:18.193,-0.11060,0.11011,-1.04712;
18:32:18.203,-0.10059,0.10376,-1.03833;
18:32:18.213,-0.10474,0.11377,-1.02954;
18:32:18.223,-0.11182,0.10620,-1.01855;
18:32:18.233,-0.11646,0.09961,-1.01318;
18:32:18.243,-0.11743,0.10425,-1.01538;
18:32:18.253,-0.11938,0.10669,-1.02295;
18:32:18.263,-0.12769,0.11182,-1.03027;
18:32:18.273,-0.14575,0.13525,-1.04199;
18:32:18.283,-0.18140,0.18457,-1.08813;
18:32:18.293,-0.21533,0.20508,-1.14038;
18:32:18.303,-0.23999,0.21582,-1.17383;
18:32:18.313,-0.26953,0.21436,-1.16919;
18:32:18.323,-0.31104,0.20459,-1.13110;
18:32:18.333,-0.32642,0.21045,-1.08667;
18:32:18.343,-0.32202,0.24927,-1.04517;
18:32:18.353,-0.31860,0.29102,-1.00903;
18:32:18.363,-0.32153,0.34375,-0.98804;
18:32:18.373,-0.39917,0.41187,-0.99146;
18:32:18.383,-0.33667,0.34912,-0.76099;
18:32:18.393,-0.32813,0.31738,-0.78638;
18:32:18.403,-0.33838,0.28857,-0.82300;
18:32:18.413,-0.33716,0.29102,-0.85425;
18:32:18.423,-0.32031,0.33716,-0.87427;
18:32:18.433,-0.29858,0.41528,-0.88501;
18:32:18.443,-0.29907,0.48682,-0.89746;
18:32:18.453,-0.31421,0.54053,-0.92505;
18:32:18.463,-0.33569,0.76831,-0.96582;
18:32:18.473,-0.30591,0.77515,-0.92236;
18:32:18.483,-0.28613,0.72461,-0.88599;
18:32:18.493,-0.27930,0.65112,-0.86328;
18:32:18.503,-0.24854,0.57837,-0.86084;
18:32:18.513,-0.22095,0.54004,-0.88208;
18:32:18.523,-0.18433,0.53418,-0.90161;
18:32:18.533,-0.12598,0.54419,-0.90088;
18:32:18.543,-0.06592,0.54248,-0.91162;
18:32:18.553,-0.05493,0.51489,-0.91797;
18:32:18.563,-0.07227,0.38599,-0.86768;
18:32:18.573,-0.09766,0.29834,-0.85742;
18:32:18.583,-0.10010,0.26001,-0.86182;
18:32:18.593,-0.09351,0.21094,-0.86792;
18:32:18.603,-0.05713,0.16235,-0.87549;
18:32:18.613,-0.00317,0.12720,-0.86987;
18:32:18.623,0.05347,0.10205,-0.85181;
