time,acc_x,acc_y,acc_z
19:26:42.916,-0.39697,0.21509,-0.90112;
19:26:42.926,-0.39795,0.21655,-0.89697;
19:26:42.936,-0.39917,0.21143,-0.88794;
19:26:42.946,-0.40161,0.21533,-0.89185;
19:26:42.956,-0.40161,0.22070,-0.89600;
19:26:42.966,-0.39966,0.21460,-0.89160;
19:26:42.976,-0.40112,0.20972,-0.88623;
19:26:42.986,-0.40283,0.21118,-0.88306;
19:26:42.996,-0.40771,0.21631,-0.88306;
19:26:43.006,-0.40845,0.21875,-0.88208;
19:26:43.016,-0.40576,0.21655,-0.87695;
19:26:43.026,-0.40503,0.21655,-0.87573;
19:26:43.036,-0.40356,0.21680,-0.87378;
19:26:43.046,-0.41016,0.20850,-0.88062;
19:26:43.056,-0.41064,0.21851,-0.88428;
19:26:43.066,-0.40088,0.21289,-0.89111;
19:26:43.076,-0.39307,0.21387,-0.90503;
19:26:43.086,-0.39404,0.20630,-0.90454;
19:26:43.096,-0.39673,0.21118,-0.90479;
19:26:43.106,-0.40161,0.21362,-0.88818;
19:26:43.116,-0.40161,0.21216,-0.88110;
19:26:43.126,-0.40161,0.21094,-0.87915;
19:26:43.136,-0.40234,0.20996,-0.87866;
19:26:43.146,-0.40405,0.21338,-0.87622;
19:26:43.156,-0.40430,0.21558,-0.88086;
19:26:43.166,-0.40747,0.21143,-0.88428;
19:26:43.176,-0.40649,0.21021,-0.88428;
19:26:43.186,-0.40698,0.21436,-0.87964;
19:26:43.196,-0.40503,0.21704,-0.87842;
19:26:43.206,-0.40112,0.22046,-0.88550;
19:26:43.216,-0.40161,0.21704,-0.89307;
19:26:43.226,-0.39746,0.20923,-0.89697;
19:26:43.236,-0.39819,0.20679,-0.89990;
19:26:43.246,-0.39673,0.21289,-0.90039;
19:26:43.256,-0.39868,0.21313,-0.89526;
19:26:43.266,-0.39868,0.21509,-0.88428;
19:26:43.276,-0.39844,0.21924,-0.88086;
19:26:43.286,-0.40430,0.21753,-0.88257;
19:26:43.296,-0.40381,0.21509,-0.88501;
19:26:43.306,-0.40283,0.21240,-0.89331;
19:26:43.316,-0.40015,0.20532,-0.89771;
19:26:43.326,-0.39600,0.20923,-0.89868;
19:26:43.336,-0.39575,0.21899,-0.90015;
19:26:43.346,-0.39990,0.21240,-0.89722;
19:26:43.356,-0.40088,0.20801,-0.88989;
19:26:43.366,-0.40088,0.21606,-0.88379;
19:26:43.376,-0.40137,0.22021,-0.88159;
19:26:43.386,-0.40210,0.21460,-0.88354;
19:26:43.396,-0.40503,0.20752,-0.88428;
19:26:43.406,-0.40698,0.20605,-0.88330;
19:26:43.416,-0.40796,0.20703,-0.88232;
19:26:43.426,-0.40454,0.20850,-0.88672;
19:26:43.436,-0.40283,0.22119,-0.88843;
19:26:43.446,-0.40112,0.21240,-0.88647;
19:26:43.456,-0.40186,0.20776,-0.89063;
19:26:43.466,-0.40210,0.20776,-0.89014;
19:26:43.476,-0.40234,0.20972,-0.89209;
19:26:43.486,-0.39795,0.20972,-0.89014;
19:26:43.496,-0.39819,0.20874,-0.89258;
19:26:43.506,-0.39746,0.21338,-0.89478;
19:26:43.516,-0.39868,0.21680,-0.89185;
19:26:43.526,-0.40112,0.21118,-0.89209;
19:26:43.536,-0.40503,0.20654,-0.89111;
19:26:43.546,-0.40576,0.20898,-0.88818;
19:26:43.556,-0.40381,0.21436,-0.88940;
19:26:43.566,-0.40234,0.21460,-0.88916;
19:26:43.576,-0.40405,0.20850,-0.88965;
19:26:43.586,-0.40283,0.20483,-0.89209;
