time,acc_x,acc_y,acc_z
19:16:25.794,-0.48022,0.49927,-0.72241;
19:16:25.804,-0.47925,0.49707,-0.72510;
19:16:25.814,-0.47900,0.49536,-0.72632;
19:16:25.824,-0.47485,0.49512,-0.72998;
19:16:25.834,-0.46973,0.50439,-0.72461;
19:16:25.844,-0.46753,0.50879,-0.72046;
19:16:25.854,-0.47119,0.50146,-0.72632;
19:16:25.864,-0.47363,0.49463,-0.72510;
19:16:25.874,-0.47876,0.49707,-0.73389;
19:16:25.884,-0.47827,0.49780,-0.72925;
19:16:25.894,-0.47485,0.49951,-0.73193;
19:16:25.904,-0.47217,0.49561,-0.74097;
19:16:25.914,-0.47314,0.49341,-0.73560;
19:16:25.924,-0.47827,0.49341,-0.73242;
19:16:25.934,-0.47925,0.48682,-0.73999;
19:16:25.944,-0.47705,0.49023,-0.73853;
19:16:25.954,-0.47437,0.49780,-0.73267;
19:16:25.964,-0.47119,0.49707,-0.73145;
19:16:25.974,-0.47046,0.49292,-0.73267;
19:16:25.984,-0.47314,0.49194,-0.73511;
19:16:25.994,-0.47681,0.49072,-0.73828;
19:16:26.004,-0.47607,0.49438,-0.73169;
19:16:26.014,-0.47827,0.50293,-0.72046;
19:16:26.024,-0.47827,0.50024,-0.72412;
19:16:26.034,-0.47632,0.49829,-0.72876;
19:16:26.044,-0.47388,0.50098,-0.72241;
19:16:26.054,-0.47461,0.49683,-0.72803;
19:16:26.064,-0.47607,0.49487,-0.73438;
19:16:26.074,-0.47168,0.49658,-0.73389;
19:16:26.084,-0.47070,0.49756,-0.73486;
19:16:26.094,-0.47119,0.49170,-0.74146;
19:16:26.104,-0.47046,0.49121,-0.74316;
19:16:26.114,-0.47144,0.49756,-0.73096;
19:16:26.124,-0.47314,0.49365,-0.73364;
19:16:26.134,-0.47656,0.49414,-0.73120;
19:16:26.144,-0.47729,0.49756,-0.73022;
19:16:26.154,-0.47534,0.49707,-0.73193;
19:16:26.164,-0.47681,0.49731,-0.73291;
19:16:26.174,-0.47559,0.50122,-0.72778;
19:16:26.184,-0.47510,0.49927,-0.72754;
19:16:26.194,-0.47437,0.49561,-0.72754;
19:16:26.204,-0.47583,0.49292,-0.73120;
19:16:26.214,-0.47437,0.49536,-0.73120;
19:16:26.224,-0.47314,0.49951,-0.72583;
19:16:26.234,-0.47412,0.49780,-0.73047;
19:16:26.244,-0.47168,0.49316,-0.73584;
19:16:26.254,-0.47046,0.49658,-0.73047;
19:16:26.264,-0.47095,0.50024,-0.72705;
19:16:26.274,-0.47192,0.49341,-0.73364;
19:16:26.284,-0.47437,0.49072,-0.73511;
19:16:26.294,-0.47876,0.49585,-0.73315;
19:16:26.304,-0.47778,0.49756,-0.72852;
19:16:26.314,-0.47681,0.49878,-0.72632;
19:16:26.324,-0.47388,0.50122,-0.72144;
19:16:26.334,-0.47241,0.50024,-0.72070;
19:16:26.344,-0.47266,0.49365,-0.73364;
19:16:26.354,-0.47485,0.49609,-0.73560;
19:16:26.364,-0.47388,0.49683,-0.73560;
19:16:26.374,-0.47144,0.49658,-0.73511;
19:16:26.384,-0.47363,0.49316,-0.73486;
19:16:26.394,-0.47070,0.48950,-0.73926;
19:16:26.404,-0.47021,0.49341,-0.73535;
