time,acc_x,acc_y,acc_z
19:16:05.606,0.55859,0.65356,-0.50732;
19:16:05.616,0.51538,0.64990,-0.40430;
19:16:05.626,0.47754,0.66675,-0.36572;
19:16:05.636,0.44092,0.66846,-0.36499;
19:16:05.646,0.45483,0.62769,-0.33521;
19:16:05.656,0.53345,0.61230,-0.32568;
19:16:05.666,0.63525,0.64111,-0.35596;
19:16:05.676,0.79565,0.69141,-0.48315;
19:16:05.686,0.83057,0.69165,-0.49805;
19:16:05.696,0.85645,0.65601,-0.48340;
19:16:05.706,0.84619,0.61743,-0.45190;
19:16:05.716,0.81812,0.60669,-0.38940;
19:16:05.726,0.80640,0.71509,-0.33130;
19:16:05.736,0.80298,0.84912,-0.29785;
19:16:05.746,0.78833,0.89038,-0.26489;
19:16:05.756,0.78540,0.86377,-0.25342;
19:16:05.766,0.77710,0.85254,-0.23584;
19:16:05.776,0.77026,0.82837,-0.18872;
19:16:05.786,0.78784,0.80005,-0.12964;
19:16:05.796,0.82568,0.72974,-0.07227;
19:16:05.806,0.84131,0.63647,0.01147;
19:16:05.816,0.82202,0.62476,0.08569;
19:16:05.826,0.79614,0.69653,0.11694;
19:16:05.836,0.77319,0.71582,0.12769;
19:16:05.846,0.73975,0.65479,0.13306;
19:16:05.856,0.63452,0.55566,0.23877;
19:16:05.866,0.56812,0.49902,0.27612;
19:16:05.876,0.60791,0.48071,0.23218;
19:16:05.886,0.65747,0.46094,0.05396;
19:16:05.896,0.67310,0.38306,-0.11450;
19:16:05.906,0.67090,0.28857,-0.13354;
19:16:05.916,0.75024,0.28516,-0.42700;
19:16:05.926,0.79224,0.14966,-0.78711;
19:16:05.936,0.80347,0.12891,-1.00293;
19:16:05.946,0.80444,0.44263,-1.14331;
19:16:05.956,0.72144,0.51245,-1.12305;
19:16:05.966,0.61426,0.64648,-1.06104;
19:16:05.976,0.54468,0.79932,-1.01147;
19:16:05.986,0.50757,0.86304,-0.97192;
19:16:05.996,0.47681,0.84985,-0.90503;
19:16:06.006,0.44946,0.80542,-0.82520;
19:16:06.016,0.43018,0.74634,-0.76196;
19:16:06.026,0.44141,0.66846,-0.71851;
19:16:06.036,0.47632,0.66431,-0.66943;
19:16:06.046,0.49219,0.70020,-0.58594;
19:16:06.056,0.49854,0.71680,-0.49146;
19:16:06.066,0.55957,0.70605,-0.38281;
19:16:06.076,0.60840,0.73169,-0.36841;
19:16:06.086,0.64453,0.78638,-0.37231;
19:16:06.096,0.67822,0.81689,-0.39575;
19:16:06.106,0.70117,0.82300,-0.41626;
19:16:06.116,0.72046,0.79517,-0.41943;
19:16:06.126,0.73389,0.76294,-0.38550;
19:16:06.136,0.71777,0.71704,-0.28906;
19:16:06.146,0.70654,0.68188,-0.25146;
19:16:06.156,0.77490,0.66357,-0.29688;
19:16:06.166,0.76563,0.65552,-0.33838;
19:16:06.176,0.74341,0.61279,-0.37866;
