time,acc_x,acc_y,acc_z
18:50:17.051,-0.02124,-0.70166,-0.70532;
18:50:17.061,-0.02222,-0.70166,-0.70728;
18:50:17.071,-0.02173,-0.69922,-0.70728;
18:50:17.081,-0.02075,-0.70020,-0.70752;
18:50:17.091,-0.02173,-0.70117,-0.70435;
18:50:17.101,-0.02124,-0.69849,-0.70483;
18:50:17.111,-0.02173,-0.70044,-0.70581;
18:50:17.121,-0.02197,-0.69922,-0.70337;
18:50:17.131,-0.02222,-0.69946,-0.70483;
18:50:17.141,-0.02319,-0.70044,-0.70459;
18:50:17.151,-0.02441,-0.70190,-0.70605;
18:50:17.161,-0.02417,-0.70190,-0.70703;
18:50:17.171,-0.02368,-0.70190,-0.70605;
18:50:17.181,-0.02295,-0.70190,-0.70728;
18:50:17.191,-0.02246,-0.69775,-0.70703;
18:50:17.201,-0.02246,-0.69922,-0.70703;
18:50:17.211,-0.02319,-0.69922,-0.70483;
18:50:17.221,-0.02368,-0.70068,-0.70483;
18:50:17.231,-0.02271,-0.70093,-0.70483;
18:50:17.241,-0.02319,-0.70166,-0.70605;
18:50:17.251,-0.02271,-0.69849,-0.70874;
18:50:17.261,-0.02246,-0.69995,-0.70508;
18:50:17.271,-0.02368,-0.70239,-0.70654;
18:50:17.281,-0.02344,-0.70117,-0.70752;
18:50:17.291,-0.02417,-0.70142,-0.70703;
18:50:17.301,-0.02271,-0.70117,-0.70459;
18:50:17.311,-0.02148,-0.70166,-0.70483;
18:50:17.321,-0.02197,-0.69897,-0.70435;
18:50:17.331,-0.02368,-0.69849,-0.70483;
18:50:17.341,-0.02319,-0.70239,-0.70728;
18:50:17.351,-0.02246,-0.70093,-0.70557;
18:50:17.361,-0.02173,-0.70093,-0.70630;
18:50:17.371,-0.02271,-0.69775,-0.70386;
18:50:17.381,-0.02368,-0.70020,-0.70605;
18:50:17.391,-0.02319,-0.70044,-0.70703;
18:50:17.401,-0.02246,-0.70239,-0.70557;
18:50:17.411,-0.02271,-0.70215,-0.70605;
18:50:17.421,-0.02344,-0.70264,-0.70630;
18:50:17.431,-0.02295,-0.70215,-0.70435;
18:50:17.441,-0.02319,-0.70068,-0.70410;
18:50:17.451,-0.02319,-0.70190,-0.70654;
18:50:17.461,-0.02271,-0.70068,-0.70532;
18:50:17.471,-0.02295,-0.69897,-0.70654;
18:50:17.481,-0.02417,-0.70044,-0.70874;
18:50:17.491,-0.02393,-0.70020,-0.70679;
18:50:17.501,-0.02222,-0.70117,-0.70557;
18:50:17.511,-0.02197,-0.70117,-0.70532;
18:50:17.521,-0.02246,-0.70093,-0.70776;
18:50:17.531,-0.02368,-0.69897,-0.70825;
18:50:17.541,-0.02393,-0.70142,-0.70850;
18:50:17.551,-0.02197,-0.70142,-0.70752;
18:50:17.561,-0.02344,-0.69922,-0.70850;
18:50:17.571,-0.02368,-0.70166,-0.71021;
18:50:17.581,-0.02319,-0.70068,-0.70825;
18:50:17.591,-0.02271,-0.69751,-0.70581;
18:50:17.601,-0.02197,-0.70044,-0.70581;
18:50:17.611,-0.02295,-0.70264,-0.70679;
18:50:17.621,-0.02393,-0.70068,-0.70557;
18:50:17.631,-0.02295,-0.70166,-0.70801;
18:50:17.641,-0.02197,-0.70166,-0.70605;
18:50:17.651,-0.02344,-0.69995,-0.70654;
18:50:17.661,-0.02417,-0.70142,-0.70703;
18:50:17.671,-0.02441,-0.70190,-0.70288;
18:50:17.681,-0.02173,-0.70117,-0.70581;
18:50:17.691,-0.02100,-0.70044,-0.70679;
18:50:17.701,-0.02173,-0.70166,-0.70728;
18:50:17.711,-0.02222,-0.69971,-0.70630;
18:50:17.721,-0.02124,-0.69897,-0.70483;
18:50:17.731,-0.02319,-0.70190,-0.70630;
18:50:17.741,-0.02319,-0.70239,-0.70630;
18:50:17.751,-0.02246,-0.70020,-0.70654;
18:50:17.761,-0.02441,-0.70020,-0.70752;
18:50:17.771,-0.02319,-0.70117,-0.70728;
18:50:17.781,-0.02393,-0.70020,-0.70630;
18:50:17.791,-0.02344,-0.70044,-0.70654;
18:50:17.801,-0.02271,-0.69995,-0.70410;
18:50:17.811,-0.02319,-0.69995,-0.70605;
18:50:17.821,-0.02417,-0.70264,-0.70703;
18:50:17.831,-0.02271,-0.70166,-0.70654;
18:50:17.841,-0.02368,-0.70166,-0.70654;
18:50:17.851,-0.02393,-0.70215,-0.70801;
18:50:17.861,-0.02295,-0.70044,-0.70874;
18:50:17.871,-0.02490,-0.69971,-0.70605;
18:50:17.881,-0.02588,-0.70361,-0.70581;
18:50:17.891,-0.02295,-0.70166,-0.70630;
18:50:17.901,-0.02173,-0.70239,-0.70728;
18:50:17.911,-0.02197,-0.70557,-0.70337;
18:50:17.921,-0.02344,-0.70264,-0.70557;
18:50:17.931,-0.02417,-0.70239,-0.70654;
