time,acc_x,acc_y,acc_z
19:36:45.077,0.76392,-0.07495,-0.69971;
19:36:45.087,0.78979,-0.01465,-0.74268;
19:36:45.097,0.85962,0.05542,-0.78003;
19:36:45.107,0.90137,0.09888,-0.81128;
19:36:45.117,0.88989,0.09888,-0.81982;
19:36:45.127,0.60229,-0.11279,-0.70386;
19:36:45.137,0.45264,0.01563,-0.67896;
19:36:45.147,1.05054,0.47632,-0.86426;
19:36:45.157,0.96582,0.36987,-0.72095;
19:36:45.167,0.92700,0.34326,-0.69971;
19:36:45.177,0.91577,0.32495,-0.71802;
19:36:45.187,0.91821,0.29077,-0.73706;
19:36:45.197,0.89038,0.21167,-0.73999;
19:36:45.207,0.81055,0.06885,-0.73462;
19:36:45.217,0.72339,-0.06714,-0.70605;
19:36:45.227,0.73145,-0.03149,-0.72974;
19:36:45.237,0.83276,-0.00952,-0.74536;
19:36:45.247,0.93433,-0.03760,-0.75269;
19:36:45.257,1.02173,-0.13062,-0.72046;
19:36:45.267,1.06738,-0.25537,-0.66992;
19:36:45.277,1.05225,-0.29565,-0.65796;
19:36:45.287,0.99658,-0.25586,-0.65479;
19:36:45.297,0.94067,-0.22656,-0.61182;
19:36:45.307,0.90381,-0.23730,-0.55591;
19:36:45.317,0.89136,-0.29639,-0.49512;
19:36:45.327,0.88086,-0.32764,-0.43384;
19:36:45.337,0.86426,-0.28613,-0.37842;
19:36:45.347,0.87891,-0.23755,-0.35474;
19:36:45.357,0.90137,-0.21265,-0.35132;
19:36:45.367,0.91357,-0.19238,-0.34253;
19:36:45.377,0.87573,-0.05591,-0.35425;
19:36:45.387,0.91162,-0.03369,-0.35449;
19:36:45.397,0.92578,0.00977,-0.35693;
19:36:45.407,0.92627,0.04736,-0.38208;
19:36:45.417,0.90259,0.07324,-0.40747;
19:36:45.427,0.84277,0.07275,-0.43604;
19:36:45.437,0.76196,0.03662,-0.44849;
19:36:45.447,0.67261,-0.00830,-0.43945;
19:36:45.457,0.59717,-0.02930,-0.40942;
19:36:45.467,0.56689,-0.02661,-0.37891;
19:36:45.477,0.57495,0.01196,-0.36841;
19:36:45.487,0.61841,0.06689,-0.35303;
19:36:45.497,0.68018,0.09326,-0.30640;
19:36:45.507,0.76221,0.11865,-0.27490;
19:36:45.517,0.84570,0.18433,-0.28540;
19:36:45.527,0.91211,0.37402,-0.27905;
19:36:45.537,0.88232,0.42114,-0.23901;
19:36:45.547,0.82568,0.46777,-0.18164;
19:36:45.557,0.77124,0.52759,-0.12500;
19:36:45.567,0.74316,0.63037,-0.11548;
19:36:45.577,0.73218,0.69409,-0.13892;
19:36:45.587,0.75195,0.70044,-0.14429;
19:36:45.597,0.77393,0.69971,-0.14111;
19:36:45.607,0.80884,0.71387,-0.15796;
19:36:45.617,0.86694,0.73169,-0.24121;
19:36:45.627,0.87036,0.73413,-0.30957;
19:36:45.637,0.88745,0.68848,-0.33984;
19:36:45.647,0.91016,0.66064,-0.25903;
19:36:45.657,1.07471,0.77612,-0.21240;
19:36:45.667,1.15723,0.71240,-0.29297;
19:36:45.677,1.18286,0.65918,-0.37378;
19:36:45.687,1.17847,0.76123,-0.43848;
19:36:45.697,1.16553,0.89600,-0.42969;
19:36:45.707,1.06274,0.72241,-0.23975;
19:36:45.717,1.01318,0.65405,-0.19360;
19:36:45.727,1.00488,0.64893,-0.20605;
19:36:45.737,0.98096,0.74023,-0.24512;
19:36:45.747,0.96216,0.79614,-0.26465;
19:36:45.757,0.93823,0.78467,-0.22803;
19:36:45.767,0.91602,0.83911,-0.17505;
19:36:45.777,0.90576,0.86743,-0.14966;
19:36:45.787,0.91699,0.80151,-0.13110;
19:36:45.797,0.92310,0.70679,-0.11035;
19:36:45.807,0.90991,0.69751,-0.08936;
19:36:45.817,0.90137,0.76172,-0.08569;
19:36:45.827,0.94336,0.70288,-0.08081;
19:36:45.837,0.96191,0.64893,-0.08423;
19:36:45.847,0.94214,0.66797,-0.08740;
19:36:45.857,0.88281,0.66406,-0.08740;
19:36:45.867,0.82617,0.64453,-0.07373;
19:36:45.877,0.79956,0.67090,-0.08203;
19:36:45.887,0.78857,0.71631,-0.08618;
19:36:45.897,0.77856,0.73706,-0.08130;
19:36:45.907,0.79858,0.71509,-0.08521;
19:36:45.917,0.83618,0.66064,-0.09375;
19:36:45.927,0.84302,0.63428,-0.10107;
19:36:45.937,0.82910,0.60889,-0.09717;
19:36:45.947,0.80786,0.57788,-0.08447;
19:36:45.957,0.79248,0.55762,-0.09375;
19:36:45.967,0.78882,0.54126,-0.13159;
19:36:45.977,0.78662,0.64404,-0.13892;
19:36:45.987,0.77344,0.71216,-0.07739;
19:36:45.997,0.77148,0.75952,-0.04736;
19:36:46.007,0.79272,0.75757,-0.03735;
19:36:46.017,0.82861,0.71460,-0.02710;
19:36:46.027,0.84595,0.64038,-0.00098;
19:36:46.037,0.87378,0.53516,-0.04932;
19:36:46.047,0.84961,0.52881,-0.05786;
19:36:46.057,0.83960,0.54272,-0.06763;
19:36:46.067,0.83984,0.58960,-0.09033;
19:36:46.077,0.84106,0.60376,-0.10400;
19:36:46.087,0.85083,0.56763,-0.11670;
19:36:46.097,0.85815,0.54297,-0.12891;
19:36:46.107,0.84766,0.54468,-0.11694;
19:36:46.117,0.85034,0.56616,-0.10596;
19:36:46.127,0.86450,0.56445,-0.10522;
19:36:46.137,0.88818,0.53101,-0.11353;
19:36:46.147,0.88818,0.50342,-0.14087;
19:36:46.157,0.89014,0.47266,-0.15527;
19:36:46.167,0.88184,0.46631,-0.15234;
19:36:46.177,0.86523,0.49976,-0.15967;
19:36:46.187,0.84888,0.54053,-0.16016;
19:36:46.197,0.85352,0.57959,-0.15771;
19:36:46.207,0.86035,0.59302,-0.13989;
19:36:46.217,0.86426,0.58179,-0.13501;
19:36:46.227,0.87134,0.54297,-0.14966;
19:36:46.237,0.86938,0.51050,-0.15210;
19:36:46.247,0.86621,0.52954,-0.12988;
19:36:46.257,0.86987,0.55762,-0.10889;
19:36:46.267,0.87036,0.58447,-0.08911;
19:36:46.277,0.83374,0.63257,-0.06982;
19:36:46.287,0.81958,0.61548,-0.07642;
19:36:46.297,0.80518,0.58887,-0.09399;
19:36:46.307,0.80029,0.57080,-0.10132;
19:36:46.317,0.80835,0.54810,-0.10400;
19:36:46.327,0.82739,0.54907,-0.09595;
19:36:46.337,0.84473,0.57178,-0.09424;
19:36:46.347,0.85840,0.56152,-0.07642;
19:36:46.357,0.83643,0.59277,-0.04712;
19:36:46.367,0.85229,0.57813,-0.08472;
19:36:46.377,0.85767,0.53882,-0.11792;
19:36:46.387,0.84912,0.52832,-0.13403;
19:36:46.397,0.84619,0.53857,-0.14575;
19:36:46.407,0.84717,0.56909,-0.14453;
19:36:46.417,0.84668,0.59912,-0.13379;
19:36:46.427,0.84668,0.59277,-0.12793;
19:36:46.437,0.84839,0.57837,-0.13257;
19:36:46.447,0.85205,0.56934,-0.13745;
19:36:46.457,0.85864,0.55029,-0.14160;
19:36:46.467,0.86230,0.54858,-0.14453;
19:36:46.477,0.85205,0.56519,-0.13574;
19:36:46.487,0.85962,0.57837,-0.09180;
19:36:46.497,0.86377,0.56519,-0.08496;
