time,acc_x,acc_y,acc_z
18:12:54.027,0.23218,-0.95972,-0.08081;
18:12:54.037,0.23120,-0.96045,-0.08350;
18:12:54.047,0.23340,-0.96167,-0.08325;
18:12:54.057,0.23242,-0.96484,-0.08496;
18:12:54.067,0.23462,-0.96094,-0.08643;
18:12:54.077,0.23755,-0.95923,-0.08569;
18:12:54.087,0.23706,-0.95874,-0.08594;
18:12:54.097,0.23730,-0.95752,-0.08423;
18:12:54.107,0.23657,-0.96216,-0.08374;
18:12:54.117,0.23047,-0.96924,-0.08081;
18:12:54.127,0.23193,-0.95850,-0.09229;
18:12:54.137,0.23511,-0.96191,-0.09229;
18:12:54.147,0.23682,-0.96143,-0.09619;
18:12:54.157,0.23291,-0.95776,-0.09985;
18:12:54.167,0.23169,-0.95996,-0.10205;
18:12:54.177,0.23389,-0.96191,-0.09961;
18:12:54.187,0.23584,-0.95654,-0.09644;
18:12:54.197,0.23413,-0.95996,-0.09717;
18:12:54.207,0.23511,-0.96118,-0.09180;
18:12:54.217,0.23755,-0.95581,-0.08740;
18:12:54.227,0.23584,-0.95483,-0.08936;
18:12:54.237,0.23657,-0.95728,-0.08496;
18:12:54.247,0.23608,-0.95850,-0.07910;
18:12:54.257,0.23389,-0.96558,-0.07813;
18:12:54.267,0.23291,-0.96997,-0.07373;
18:12:54.277,0.23267,-0.96411,-0.07275;
18:12:54.287,0.23315,-0.95752,-0.08228;
18:12:54.297,0.23242,-0.95483,-0.08032;
18:12:54.307,0.23462,-0.95410,-0.08130;
18:12:54.317,0.23413,-0.96143,-0.09399;
18:12:54.327,0.23730,-0.96362,-0.09521;
18:12:54.337,0.23706,-0.95337,-0.09937;
18:12:54.347,0.23804,-0.95044,-0.10693;
18:12:54.357,0.23877,-0.95142,-0.11011;
18:12:54.367,0.23633,-0.96240,-0.10718;
18:12:54.377,0.23730,-0.96875,-0.10352;
18:12:54.387,0.23413,-0.95972,-0.09863;
18:12:54.397,0.23169,-0.95386,-0.09058;
18:12:54.407,0.23364,-0.95923,-0.07690;
18:12:54.417,0.23145,-0.96143,-0.06055;
18:12:54.427,0.23682,-0.96240,-0.05957;
18:12:54.437,0.23730,-0.95776,-0.06519;
18:12:54.447,0.23486,-0.95996,-0.06470;
18:12:54.457,0.23145,-0.95117,-0.06396;
18:12:54.467,0.23584,-0.96143,-0.06445;
18:12:54.477,0.23730,-0.95850,-0.06421;
18:12:54.487,0.23682,-0.95215,-0.07349;
18:12:54.497,0.23291,-0.94312,-0.07324;
18:12:54.507,0.23242,-0.93604,-0.07300;
18:12:54.517,0.22437,-0.95093,-0.07788;
18:12:54.527,0.22559,-0.96436,-0.07666;
18:12:54.537,0.22803,-0.97266,-0.09253;
18:12:54.547,0.22607,-0.96362,-0.11035;
18:12:54.557,0.23096,-0.94873,-0.11035;
18:12:54.567,0.22656,-0.95386,-0.11792;
18:12:54.577,0.22827,-0.96313,-0.12598;
18:12:54.587,0.23315,-0.97339,-0.12183;
18:12:54.597,0.23486,-0.96948,-0.12500;
18:12:54.607,0.22852,-0.95435,-0.13940;
