time,acc_x,acc_y,acc_z
18:13:12.833,0.93042,0.47583,0.10889;
18:13:12.843,0.94653,0.36230,0.05713;
18:13:12.853,1.02271,0.16553,0.00415;
18:13:12.863,1.01880,0.08423,-0.06494;
18:13:12.873,0.97705,0.17603,-0.10010;
18:13:12.883,1.01270,0.20166,-0.09229;
18:13:12.893,1.04907,0.25537,0.01074;
18:13:12.903,1.05078,0.38818,0.02319;
18:13:12.913,1.10059,0.31885,-0.00562;
18:13:12.923,1.13477,0.18335,0.01074;
18:13:12.933,1.13672,0.05273,0.01221;
18:13:12.943,1.16675,-0.01660,-0.10669;
18:13:12.953,1.19873,-0.14819,-0.21191;
18:13:12.963,1.13428,-0.24805,-0.20776;
18:13:12.973,1.10083,-0.23584,-0.14429;
18:13:12.983,1.07153,-0.22119,-0.03711;
18:13:12.993,0.99072,-0.18457,0.03711;
18:13:13.003,0.97241,-0.07080,0.07251;
18:13:13.013,0.97241,-0.00757,0.12842;
18:13:13.023,0.91455,-0.06543,0.18115;
18:13:13.033,0.65405,-0.10278,0.10156;
18:13:13.043,0.54443,-0.20020,0.28687;
18:13:13.053,0.50269,-0.12646,0.33496;
18:13:13.063,0.46045,0.00659,0.34277;
18:13:13.073,0.41504,0.05273,0.34668;
18:13:13.083,0.39063,0.07617,0.34644;
18:13:13.093,0.39746,0.10791,0.34888;
18:13:13.103,0.44312,0.14844,0.35815;
18:13:13.113,0.51563,0.12158,0.34033;
18:13:13.123,0.59229,0.01489,0.27783;
18:13:13.133,0.67017,-0.03735,0.19043;
18:13:13.143,0.75854,-0.01733,0.16895;
18:13:13.153,0.84473,-0.03979,0.12744;
18:13:13.163,0.90283,-0.13330,0.01343;
18:13:13.173,0.98657,-0.32300,-0.11572;
18:13:13.183,1.04785,-0.41187,-0.13062;
18:13:13.193,1.10815,-0.22266,-0.20605;
18:13:13.203,1.16309,-0.28149,-0.17285;
18:13:13.213,1.14648,-0.36401,-0.13916;
18:13:13.223,1.16724,-0.36523,-0.10034;
18:13:13.233,1.20776,-0.38062,0.15356;
18:13:13.243,1.07227,-0.46533,0.39917;
18:13:13.253,1.03906,-0.20410,0.49634;
18:13:13.263,1.09082,0.08887,0.48901;
18:13:13.273,1.24390,0.12598,0.25146;
18:13:13.283,1.45313,-0.16113,-0.24219;
18:13:13.293,1.56104,-0.58447,-0.49854;
18:13:13.303,1.62378,-0.89648,-0.46069;
18:13:13.313,1.56372,-0.98853,-0.09155;
18:13:13.323,1.41504,-0.34912,0.02515;
18:13:13.333,1.26343,-0.01538,0.27075;
18:13:13.343,1.21558,-0.01733,0.08618;
18:13:13.353,1.19434,-0.10376,0.14453;
18:13:13.363,1.10962,-0.20313,0.21289;
18:13:13.373,1.00439,-0.27808,0.29565;
18:13:13.383,0.87378,-0.25928,0.36279;
18:13:13.393,0.73462,-0.05469,0.16821;
18:13:13.403,0.62866,0.00586,0.09375;
18:13:13.413,0.56592,0.02856,0.61646;
18:13:13.423,0.52002,0.04688,0.60229;
18:13:13.433,0.39307,-0.02710,0.07300;
18:13:13.443,0.28198,0.21704,0.01855;
18:13:13.453,0.21802,0.49341,0.49829;
18:13:13.463,0.27856,-0.30029,0.26367;
18:13:13.473,0.25806,-0.04834,0.12427;
18:13:13.483,0.34619,0.27661,-0.08008;
18:13:13.493,0.44556,0.29980,-0.22632;
18:13:13.503,0.52026,0.12305,-0.21094;
18:13:13.513,0.57007,-0.06152,-0.15649;
18:13:13.523,0.64624,-0.11035,-0.08813;
18:13:13.533,0.73608,0.01880,0.05859;
18:13:13.543,0.84961,-0.21094,0.45776;
18:13:13.553,0.93384,-0.22998,0.43750;
18:13:13.563,0.99561,-0.09399,0.39746;
18:13:13.573,1.04932,0.01660,0.24902;
18:13:13.583,1.06616,0.03198,0.02808;
18:13:13.593,1.42773,-0.38281,-0.12598;
18:13:13.603,1.64551,-0.77222,-0.04395;
18:13:13.613,1.64185,-0.96729,0.05591;
18:13:13.623,1.58521,-0.79492,0.23608;
18:13:13.633,1.56152,-0.25024,0.44165;
18:13:13.643,1.46509,0.02124,0.47266;
18:13:13.653,1.42627,0.01978,0.53125;
18:13:13.663,1.45850,-0.03320,0.47046;
18:13:13.673,1.51685,-0.06396,0.31299;
18:13:13.683,1.52832,-0.14893,0.01074;
18:13:13.693,1.51855,-0.17651,-0.16699;
18:13:13.703,1.46240,-0.27490,-0.14380;
18:13:13.713,1.38647,-0.35791,-0.02051;
18:13:13.723,1.33887,-0.26953,0.02612;
18:13:13.733,1.32227,-0.08643,-0.06030;
18:13:13.743,1.28760,0.16187,-0.04736;
18:13:13.753,1.20972,0.08936,-0.02124;
18:13:13.763,1.09204,0.05933,0.03247;
18:13:13.773,0.96655,0.03223,0.13257;
18:13:13.783,0.86719,0.05103,0.22729;
18:13:13.793,0.78491,-0.00098,0.22070;
18:13:13.803,0.66528,0.06494,0.27881;
18:13:13.813,0.51904,0.12280,0.30249;
18:13:13.823,0.40771,0.10693,0.28564;
