time,acc_x,acc_y,acc_z
18:55:50.361,-0.57837,0.51050,-0.63232;
18:55:50.371,-0.57373,0.51245,-0.63037;
18:55:50.381,-0.57031,0.52026,-0.63306;
18:55:50.391,-0.57129,0.52417,-0.63330;
18:55:50.401,-0.57129,0.52002,-0.63940;
18:55:50.411,-0.56567,0.51563,-0.65234;
18:55:50.421,-0.56201,0.52344,-0.65503;
18:55:50.431,-0.56177,0.52930,-0.65015;
18:55:50.441,-0.56470,0.52100,-0.63989;
18:55:50.451,-0.56860,0.51172,-0.62988;
18:55:50.461,-0.57446,0.50903,-0.63403;
18:55:50.471,-0.58008,0.51172,-0.63330;
18:55:50.481,-0.58130,0.51465,-0.63281;
18:55:50.491,-0.58032,0.51465,-0.61914;
18:55:50.501,-0.58594,0.50928,-0.60718;
18:55:50.511,-0.59131,0.50903,-0.61255;
18:55:50.521,-0.59106,0.51270,-0.62427;
18:55:50.531,-0.58960,0.51099,-0.64258;
18:55:50.541,-0.58032,0.52124,-0.65674;
18:55:50.551,-0.56616,0.52539,-0.65991;
18:55:50.561,-0.55591,0.51880,-0.65283;
18:55:50.571,-0.55591,0.51270,-0.64185;
18:55:50.581,-0.56104,0.51392,-0.63379;
18:55:50.591,-0.56934,0.52393,-0.62183;
18:55:50.601,-0.58179,0.51978,-0.60718;
18:55:50.611,-0.59912,0.51123,-0.60205;
18:55:50.621,-0.60449,0.50952,-0.60059;
18:55:50.631,-0.60010,0.50806,-0.60352;
18:55:50.641,-0.60352,0.51587,-0.61084;
18:55:50.651,-0.59399,0.53247,-0.62646;
18:55:50.661,-0.58008,0.54126,-0.64722;
18:55:50.671,-0.56909,0.53540,-0.65430;
18:55:50.681,-0.54858,0.51758,-0.63208;
18:55:50.691,-0.56177,0.51587,-0.63794;
18:55:50.701,-0.57471,0.51392,-0.64502;
18:55:50.711,-0.57007,0.53491,-0.62622;
18:55:50.721,-0.58325,0.52661,-0.62012;
18:55:50.731,-0.58862,0.50269,-0.64258;
18:55:50.741,-0.58203,0.50293,-0.65063;
18:55:50.751,-0.57568,0.51221,-0.65088;
18:55:50.761,-0.56494,0.52124,-0.65259;
18:55:50.771,-0.55981,0.52148,-0.64014;
18:55:50.781,-0.56372,0.51587,-0.63452;
18:55:50.791,-0.56909,0.51782,-0.63257;
18:55:50.801,-0.57495,0.51709,-0.63281;
18:55:50.811,-0.57739,0.51782,-0.63794;
18:55:50.821,-0.57642,0.51782,-0.63623;
18:55:50.831,-0.57690,0.52075,-0.62476;
18:55:50.841,-0.58032,0.52686,-0.61353;
18:55:50.851,-0.58911,0.52710,-0.60693;
18:55:50.861,-0.59302,0.51514,-0.61011;
18:55:50.871,-0.59302,0.51147,-0.62354;
18:55:50.881,-0.58521,0.52051,-0.62646;
18:55:50.891,-0.57227,0.53101,-0.62280;
18:55:50.901,-0.56714,0.53564,-0.62476;
18:55:50.911,-0.56763,0.53491,-0.62598;
18:55:50.921,-0.57471,0.52295,-0.62793;
18:55:50.931,-0.58179,0.50659,-0.63965;
18:55:50.941,-0.58228,0.50488,-0.65137;
18:55:50.951,-0.57813,0.50708,-0.64893;
18:55:50.961,-0.57373,0.51953,-0.64355;
18:55:50.971,-0.57104,0.52905,-0.63916;
18:55:50.981,-0.57275,0.51685,-0.63550;
18:55:50.991,-0.57275,0.50537,-0.63037;
18:55:51.001,-0.57593,0.50684,-0.61353;
18:55:51.011,-0.58911,0.51245,-0.60034;
18:55:51.021,-0.60010,0.51196,-0.59839;
18:55:51.031,-0.60547,0.51563,-0.60132;
18:55:51.041,-0.59619,0.52075,-0.60205;
18:55:51.051,-0.58643,0.52490,-0.60596;
18:55:51.061,-0.59277,0.52197,-0.61670;
18:55:51.071,-0.59277,0.50488,-0.61523;
18:55:51.081,-0.59351,0.48877,-0.60815;
18:55:51.091,-0.60327,0.48633,-0.62354;
18:55:51.101,-0.59473,0.49365,-0.65454;
18:55:51.111,-0.57300,0.49561,-0.66309;
18:55:51.121,-0.55957,0.50830,-0.65283;
18:55:51.131,-0.55298,0.51685,-0.64551;
18:55:51.141,-0.55615,0.52588,-0.64551;
18:55:51.151,-0.55664,0.53320,-0.65015;
18:55:51.161,-0.55518,0.52856,-0.64941;
18:55:51.171,-0.55762,0.52271,-0.65967;
18:55:51.181,-0.55859,0.51563,-0.67041;
18:55:51.191,-0.56104,0.50659,-0.66333;
18:55:51.201,-0.55933,0.49390,-0.65991;
18:55:51.211,-0.55518,0.49072,-0.66089;
18:55:51.221,-0.55371,0.49585,-0.67407;
18:55:51.231,-0.54810,0.50220,-0.68311;
18:55:51.241,-0.53467,0.51025,-0.68066;
18:55:51.251,-0.52563,0.53467,-0.68701;
18:55:51.261,-0.53369,0.54077,-0.69189;
18:55:51.271,-0.53955,0.51978,-0.68896;
18:55:51.281,-0.53979,0.49561,-0.68970;
18:55:51.291,-0.55298,0.48682,-0.69458;
18:55:51.301,-0.56079,0.49268,-0.68945;
18:55:51.311,-0.56299,0.49780,-0.67798;
18:55:51.321,-0.56079,0.50439,-0.66260;
18:55:51.331,-0.56152,0.50366,-0.64404;
18:55:51.341,-0.56494,0.49854,-0.63623;
18:55:51.351,-0.56909,0.49829,-0.63379;
